,date,cases_new,cases_active,cases_recovered,cases_child,cases_adolescent,cases_adult,cases_elderly,rtk-ag,pcr,deaths_new,deaths_bid,beds_pkrc,pkrc_covid,beds_hosp,hosp_covid,beds_icu,beds_icu_total,beds_icu_covid,vent,icu_covid,daily,daily_partial,daily_full,cumul,pfizer1,pfizer2,sinovac1,sinovac2,astra1,astra2,cansino,perc_child_case,perc_adolescent_case,perc_adult_case,perc_elderly_case,cases_new_lag14,pkrc_beds_acive_cases,hosp_beds_active_cases,icu_beds_acive_cases,vent_icu_beds,seg_km1,seg_km2,seg_km_final
47,2020-03-12,9,125,6,0.0,0.0,6.0,3.0,0.0,1327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,33.300000000000004,1.0,0.0,0.0,0.0,0.0,2,2,0
48,2020-03-13,39,164,0,0.0,0.0,31.0,8.0,0.0,2107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.5,20.5,2.0,0.0,0.0,0.0,0.0,2,2,0
49,2020-03-14,41,201,4,0.0,0.0,33.0,8.0,0.0,2498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.5,19.5,0.0,0.0,0.0,0.0,0.0,2,2,0
50,2020-03-15,190,386,5,3.0,3.0,125.0,50.0,0.0,1942.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,65.8,26.3,4.0,0.0,0.0,0.0,0.0,2,2,0
51,2020-03-16,125,511,0,4.0,3.0,85.0,30.0,0.0,2468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,2.4,68.0,24.0,0.0,0.0,0.0,0.0,0.0,2,2,0
52,2020-03-17,120,622,7,5.0,3.0,90.0,22.0,0.0,2927.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,2.5,75.0,18.3,7.0,0.0,0.0,0.0,0.0,2,2,0
53,2020-03-18,117,728,11,4.0,8.0,79.0,25.0,0.0,3411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4000000000000004,6.800000000000001,67.5,21.4,14.0,0.0,0.0,0.0,0.0,2,2,0
54,2020-03-19,110,823,15,6.0,6.0,78.0,20.0,0.0,3304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.5,70.89999999999999,18.2,5.0,0.0,0.0,0.0,0.0,2,2,0
55,2020-03-20,130,940,12,2.0,6.0,97.0,22.0,0.0,3635.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,4.6,74.6,16.900000000000002,28.0,0.0,0.0,0.0,0.0,2,2,0
56,2020-03-21,153,1062,27,7.0,3.0,106.0,34.0,0.0,3955.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,2.0,69.3,22.2,10.0,0.0,0.0,0.0,0.0,2,2,0
57,2020-03-22,123,1156,25,2.0,6.0,96.0,19.0,0.0,3398.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,4.9,78.0,15.4,6.0,0.0,0.0,0.0,0.0,2,2,0
58,2020-03-23,212,1343,20,2.0,4.0,155.0,35.0,0.0,3824.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999999999999,1.9,73.1,16.5,18.0,0.0,0.0,0.0,0.0,2,2,0
59,2020-03-24,106,1423,24,3.0,7.0,73.0,18.0,0.0,3381.0,2.0,0.0,0.0,0.0,19457.0,1019.0,447.0,549.0,272.0,523.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8000000000000003,6.6000000000000005,68.89999999999999,17.0,12.0,0.0,71.6,4.8,758.0,0,4,0
60,2020-03-25,172,1576,16,4.0,6.0,112.0,45.0,0.0,3899.0,3.0,0.0,0.0,0.0,19419.0,1229.0,460.0,562.0,272.0,538.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,3.5000000000000004,65.10000000000001,26.200000000000003,20.0,0.0,78.0,3.8,896.7,0,4,0
61,2020-03-26,235,1790,16,12.0,17.0,166.0,35.0,0.0,3875.0,5.0,0.0,0.0,0.0,19627.0,1347.0,460.0,562.0,272.0,538.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,7.199999999999999,70.6,14.899999999999999,9.0,0.0,75.3,4.0,757.7,0,4,0
62,2020-03-27,130,1874,44,7.0,3.0,95.0,23.0,0.0,6540.0,2.0,1.0,0.0,0.0,19627.0,1422.0,460.0,562.0,272.0,538.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,2.3,73.1,17.7,39.0,0.0,75.9,4.0,717.3,0,4,0
63,2020-03-28,159,1966,61,5.0,9.0,112.0,32.0,0.0,5302.0,6.0,0.0,1882.0,194.0,21118.0,1491.0,534.0,644.0,316.0,634.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,5.7,70.39999999999999,20.1,41.0,9.9,75.8,4.8,674.5,0,4,0
64,2020-03-29,150,2043,68,4.0,6.0,110.0,27.0,0.0,4736.0,5.0,0.0,1882.0,252.0,21118.0,1540.0,534.0,644.0,316.0,634.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,4.0,73.3,18.0,190.0,12.3,75.4,4.7,653.5999999999999,0,4,0
65,2020-03-30,156,2105,90,8.0,7.0,119.0,20.0,0.0,5444.0,4.0,0.0,1882.0,278.0,21118.0,1608.0,534.0,644.0,319.0,634.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,4.5,76.3,12.8,125.0,13.200000000000001,76.4,4.3,704.4,0,4,0
66,2020-03-31,140,2182,58,4.0,7.0,100.0,28.0,0.0,7049.0,5.0,0.0,2209.0,471.0,21074.0,1589.0,534.0,650.0,303.0,634.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9000000000000004,5.0,71.39999999999999,20.0,120.0,21.6,72.8,4.3,681.7,0,4,0
67,2020-04-01,142,2214,108,7.0,10.0,104.0,20.0,0.0,7044.0,2.0,0.0,2237.0,512.0,23168.0,1705.0,534.0,650.0,300.0,634.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,7.000000000000001,73.2,14.099999999999998,117.0,23.1,77.0,4.3,660.4,0,4,0
68,2020-04-02,208,2298,122,8.0,12.0,142.0,38.0,0.0,6556.0,2.0,0.0,2324.0,525.0,24389.0,1672.0,534.0,650.0,300.0,634.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,5.800000000000001,68.30000000000001,18.3,110.0,22.8,72.8,4.0,681.7,0,4,0
69,2020-04-03,217,2450,60,6.0,17.0,166.0,25.0,0.0,8218.0,5.0,0.0,2324.0,474.0,24353.0,1721.0,534.0,650.0,300.0,634.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8000000000000003,7.8,76.5,11.5,130.0,19.3,70.19999999999999,3.5999999999999996,728.7,0,4,0
70,2020-04-04,150,2509,88,2.0,7.0,112.0,15.0,0.0,8941.0,3.0,0.0,2374.0,555.0,24357.0,1730.0,534.0,650.0,300.0,634.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,4.7,74.7,10.0,153.0,22.1,69.0,3.5000000000000004,728.7,0,4,0
71,2020-04-05,179,2596,90,17.0,19.0,115.0,22.0,0.0,8401.0,2.0,0.0,2399.0,531.0,24357.0,1686.0,534.0,650.0,300.0,775.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,10.6,64.2,12.3,123.0,20.5,64.9,3.2,922.6000000000001,0,4,0
72,2020-04-06,131,2489,236,13.0,5.0,78.0,30.0,0.0,5685.0,2.0,1.0,2093.0,464.0,24357.0,1682.0,560.0,676.0,300.0,787.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,3.8,59.5,22.900000000000002,212.0,18.6,67.60000000000001,3.4000000000000004,936.9,0,4,0
73,2020-04-07,170,2578,80,13.0,13.0,114.0,22.0,0.0,9597.0,1.0,0.0,2129.0,500.0,24357.0,1581.0,560.0,676.0,300.0,803.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,7.6,67.10000000000001,12.9,106.0,19.400000000000002,61.3,3.1,1016.4999999999999,0,4,0
74,2020-04-08,156,2567,166,8.0,19.0,102.0,26.0,0.0,8711.0,1.0,0.0,2688.0,568.0,24491.0,1494.0,560.0,676.0,300.0,803.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,12.2,65.4,16.7,172.0,22.1,58.199999999999996,3.0,1042.9,0,4,0
